stop ,direction ,transportCode ,depStationCode ,arrStationCode ,daparture date ,departure time ,arrival date ,arrival time ,duration ,currency ,priceAdults ,deeplink ,supplier
0,RET,LX2033,MAD,ZRH,29/05/2015,19:40,29/05/2015,21:55,800,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01585069521&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0632,ZRH,CDG,30/05/2015,07:35,30/05/2015,09:00,800,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01585069521&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-218763163&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-218763163&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LX2021,MAD,ZRH,29/05/2015,10:05,29/05/2015,12:20,600,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-218763163&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0644,ZRH,CDG,29/05/2015,18:50,29/05/2015,20:05,600,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-218763163&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01439588693&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01439588693&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LX2027,MAD,ZRH,29/05/2015,15:30,29/05/2015,17:40,395,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01439588693&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0646,ZRH,CDG,29/05/2015,20:50,29/05/2015,22:05,395,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01439588693&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v011174878490&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v011174878490&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LX2027,MAD,ZRH,29/05/2015,15:30,29/05/2015,17:40,1050,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v011174878490&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0632,ZRH,CDG,30/05/2015,07:35,30/05/2015,09:00,1050,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v011174878490&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-81972169&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-81972169&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LX2021,MAD,ZRH,29/05/2015,10:05,29/05/2015,12:20,720,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-81972169&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0646,ZRH,CDG,29/05/2015,20:50,29/05/2015,22:05,720,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-81972169&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01302797699&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01302797699&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LX2027,MAD,ZRH,29/05/2015,15:30,29/05/2015,17:40,275,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01302797699&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,RET,LX0644,ZRH,CDG,29/05/2015,18:50,29/05/2015,20:05,275,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01302797699&j=174780&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,OUT,LX0645,CDG,ZRH,22/05/2015,20:45,22/05/2015,21:55,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v012056026093&j=175340&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
1,OUT,LX2020,ZRH,MAD,23/05/2015,07:05,23/05/2015,09:25,760,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v012056026093&j=175340&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LX
0,RET,LH1807,MAD,MUC,29/05/2015,07:35,29/05/2015,10:05,570,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v012056026093&j=175340&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LH
1,RET,LH2234,MUC,CDG,29/05/2015,15:30,29/05/2015,17:05,570,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v012056026093&j=175340&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,LH
0,OUT,U23903,CDG,MAD,22/05/2015,06:45,22/05/2015,08:55,130,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-851074892&j=180310&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,U2
0,RET,FR5444,MAD,BVA,29/05/2015,06:45,29/05/2015,09:00,135,EUR,32.20,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v01-851074892&j=180310&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,FR
0,OUT,U23903,CDG,MAD,22/05/2015,06:45,22/05/2015,08:55,130,EUR,168.88,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v0183979670&j=181160&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,U2
0,RET,U23908,MAD,CDG,29/05/2015,20:40,29/05/2015,22:50,130,EUR,168.88,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v0183979670&j=181160&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,U2
0,OUT,FR5445,BVA,MAD,22/05/2015,09:25,22/05/2015,11:35,130,EUR,0.00,http://www.bravofly.fr/msr/route/searching.do?departureAirport=PAR&arrivalAirport=MAD&outboundDay=22&outboundMonthYear=052015&returnDay=29&returnMonthYear=052015&roundtrip=true&adults=1&childs=0&infants=0&COBRANDED=LILIGOFR&currency=EUR&url=search3.do&requestId=10945289841&mac=v011074981632&j=182570&bf_subsource=-----WS0S02PP01&autoclick=true&utm_source=LILIGOFR&utm_medium=metasearchers&utm_campaign=results&utm_term=PARMAD&k=4ceohepX4f9oImfy6kMhh7sBEb31C3PIJbujGRf7wWw%3D,FR
